Date/Time,100m,120m,40m,80m
2014-01-01 00:00:00,8.64,9.14,6.47,8.11
2014-01-01 00:15:00,8.38,8.88,6.23,7.85
2014-01-01 00:30:00,8.36,8.85,6.2,7.84
2014-01-01 00:45:00,8.52,9.03,6.33,8.0
2014-01-01 01:00:00,8.2,8.72,5.95,7.640000000000001
2014-01-01 01:15:00,7.19,7.72,4.88,6.61
2014-01-01 01:30:00,6.09,6.57,4.11,5.58
2014-01-01 01:45:00,5.16,5.43,4.01,4.89
2014-01-01 02:00:00,4.8,4.79,4.48,4.83
2014-01-01 02:15:00,4.89,4.94,4.37,4.84
2014-01-01 02:30:00,5.96,6.11,4.76,5.7700000000000005
2014-01-01 02:45:00,5.99,6.11,4.53,5.79
2014-01-01 03:00:00,5.8500000000000005,5.92,4.58,5.7
2014-01-01 03:15:00,5.44,5.5,4.26,5.3100000000000005
2014-01-01 03:30:00,5.42,5.45,4.3500000000000005,5.34
2014-01-01 03:45:00,5.57,5.58,4.63,5.5
2014-01-01 04:00:00,5.64,5.68,4.72,5.5600000000000005
2014-01-01 04:15:00,5.37,5.47,4.3500000000000005,5.23
2014-01-01 04:30:00,5.05,5.21,3.98,4.84
2014-01-01 04:45:00,4.93,5.15,3.84,4.68
2014-01-01 05:00:00,16.01,16.78,12.63,15.13
2014-01-01 05:15:00,16.0,16.78,12.63,15.11
2014-01-01 05:30:00,16.31,17.12,12.8,15.39
2014-01-01 05:45:00,16.48,17.29,12.91,15.57
2014-01-01 06:00:00,16.28,17.07,12.8,15.39
2014-01-01 06:15:00,16.19,16.95,12.81,15.33
2014-01-01 06:30:00,16.18,16.91,12.86,15.34
2014-01-01 06:45:00,15.95,16.68,12.85,15.15
2014-01-01 07:00:00,15.86,16.52,12.93,15.13
2014-01-01 07:15:00,15.47,15.99,12.99,14.9
2014-01-01 07:30:00,15.76,16.2,13.53,15.25
2014-01-01 07:45:00,15.46,15.84,13.42,15.02
2014-01-01 08:00:00,14.97,15.31,13.1,14.57
2014-01-01 08:15:00,14.72,15.03,12.99,14.36
2014-01-01 08:30:00,14.48,14.77,12.84,14.14
2014-01-01 08:45:00,14.09,14.35,12.58,13.78
2014-01-01 09:00:00,13.95,14.18,12.57,13.68
2014-01-01 09:15:00,13.69,13.91,12.38,13.43
2014-01-01 09:30:00,14.12,14.33,12.81,13.87
2014-01-01 09:45:00,14.22,14.43,12.92,13.97
2014-01-01 10:00:00,14.13,14.33,12.85,13.88
2014-01-01 10:15:00,13.76,13.95,12.53,13.52
2014-01-01 10:30:00,13.62,13.81,12.43,13.39
2014-01-01 10:45:00,13.48,13.67,12.31,13.26
2014-01-01 11:00:00,13.25,13.44,12.12,13.03
2014-01-01 11:15:00,12.16,12.33,11.16,11.97
2014-01-01 11:30:00,12.48,12.64,11.46,12.28
2014-01-01 11:45:00,12.74,12.9,11.67,12.53
2014-01-01 12:00:00,12.57,12.75,11.49,12.35
2014-01-01 12:15:00,12.05,12.22,11.03,11.84
2014-01-01 12:30:00,12.06,12.21,11.1,11.87
2014-01-01 12:45:00,11.55,11.7,10.62,11.36
2014-01-01 13:00:00,11.46,11.63,10.5,11.26
2014-01-01 13:15:00,13.3,13.5,12.11,13.05
2014-01-01 13:30:00,14.45,14.67,13.11,14.18
2014-01-01 13:45:00,15.37,15.66,13.77,15.03
2014-01-01 14:00:00,16.080000000000002,16.43,14.32,15.69
2014-01-01 14:15:00,16.6,16.96,14.77,16.19
2014-01-01 14:30:00,16.76,17.12,14.94,16.35
2014-01-01 14:45:00,16.45,16.79,14.67,16.06
2014-01-01 15:00:00,16.240000000000002,16.580000000000002,14.44,15.85
2014-01-01 15:15:00,16.080000000000002,16.46,14.1,15.64
2014-01-01 15:30:00,16.01,16.39,13.96,15.55
2014-01-01 15:45:00,15.75,16.15,13.79,15.3
