Run,PICP,MPIW,Training_Time,Lower_Coverage,Upper_Coverage
1,0.93,1.9171212,2.9720818996429443,0.03,0.96
2,0.97,2.3806527,2.915705919265747,0.03,1.0
3,0.99,2.5498095,2.8890950679779053,0.01,1.0
4,0.87,2.0675323,2.952425956726074,0.08,0.95
5,0.98,2.4718769,2.892404079437256,0.01,0.99
6,0.99,2.5711224,2.9324748516082764,0.0,0.99
7,0.89,1.9643832,3.041343927383423,0.06,0.95
8,0.97,2.2939737,3.0327351093292236,0.02,0.99
9,0.93,2.2136953,2.9679789543151855,0.04,0.97
10,1.0,2.580098,2.9698119163513184,0.0,1.0
